tau,prob_actions,results
0.5,"[0.17060612835239272, 0.044971287178695085, 0.09520421570439086, 0.0060862018878437485, 0.33229536380449864, 0.08759210690799009, 0.1222446327402601, 0.044971287178695085, 0.044971287178695085, 0.0060862018878437485, 0.044971287178695085]","([24], [0], [2], [34])"
0.5,"[0.19549837240295376, 0.043621583143028456, 0.0923468922384624, 0.005903539309891205, 0.3223223249680048, 0.08496324241237332, 0.11857575678630965, 0.043621583143028456, 0.043621583143028456, 0.005903539309891205, 0.043621583143028456]","([25], [0], [2], [36])"
0.5,"[0.2117062772868975, 0.04274276022183559, 0.09048642409969751, 0.005784603560936742, 0.31582865310228464, 0.08325152909270686, 0.11618686840919779, 0.04274276022183559, 0.04274276022183559, 0.005784603560936742, 0.04274276022183559]","([26], [6], [2], [38])"
0.5,"[0.2024028371953393, 0.040864428061978104, 0.0865099948860751, 0.00553039894606999, 0.3019495514006721, 0.0795930376045447, 0.1550260687733166, 0.040864428061978104, 0.040864428061978104, 0.00553039894606999, 0.040864428061978104]","([27], [0], [1], [39])"
0.5,"[0.162735973293999, 0.04289673682877545, 0.09081239257914715, 0.0058054420286487605, 0.3169663948888863, 0.08355143457156973, 0.16273597329399883, 0.04289673682877545, 0.04289673682877545, 0.0058054420286487605, 0.04289673682877545]","([28], [5], [2], [41])"
0.5,"[0.1575290116049075, 0.041524196629252705, 0.08790672495395595, 0.0056196889119927125, 0.3068246183565752, 0.11287446913865797, 0.15752901160490737, 0.041524196629252705, 0.041524196629252705, 0.0056196889119927125, 0.041524196629252705]","([29], [4], [1], [42])"
0.5,"[0.1954333363526616, 0.051515668154969795, 0.10905867033988409, 0.006971887540876186, 0.1400341046265807, 0.1400341046265807, 0.1954333363526614, 0.051515668154969795, 0.051515668154969795, 0.006971887540876186, 0.051515668154969795]","([30], [2], [2], [44])"
0.5,"[0.19230844864443392, 0.050691956698147966, 0.12330440580019998, 0.006860410317561961, 0.1377950247416084, 0.1377950247416084, 0.19230844864443375, 0.050691956698147966, 0.050691956698147966, 0.006860410317561961, 0.050691956698147966]","([31], [8], [2], [46])"
0.5,"[0.17689992264537122, 0.04663031334221328, 0.11342476111498793, 0.006310726663580434, 0.1267543334134897, 0.1267543334134897, 0.17689992264537108, 0.04663031334221328, 0.1267543334134897, 0.006310726663580434, 0.04663031334221328]","([32], [7], [2], [48])"
0.5,"[0.17170580885644396, 0.04526115981240461, 0.11009439721825416, 0.00612543188282937, 0.12303258825304027, 0.12303258825304027, 0.1717058088564438, 0.0746230369192693, 0.12303258825304027, 0.00612543188282937, 0.04526115981240461]","([33], [0], [2], [50])"
0.5,"[0.18567711908466092, 0.04449771403216201, 0.10823737226942388, 0.00602211073192444, 0.12095732746159306, 0.12095732746159306, 0.16880954911060608, 0.07336432762235706, 0.12095732746159306, 0.00602211073192444, 0.04449771403216201]","([34], [5], [1], [51])"
0.5,"[0.18983951051239273, 0.045495235451894295, 0.11066376876197742, 0.006157110575798498, 0.12366887181035001, 0.10125150854959229, 0.17259381409490324, 0.07500896240504869, 0.12366887181035001, 0.006157110575798498, 0.045495235451894295]","([35], [4], [1], [52])"
0.5,"[0.19673634976705404, 0.04714807012744621, 0.11468416589851842, 0.00638079742475761, 0.09183190115726003, 0.10492995976806464, 0.1788641199387636, 0.07773402609158186, 0.12816174227434976, 0.00638079742475761, 0.04714807012744621]","([36], [0], [1], [53])"
0.5,"[0.17003349269231308, 0.04871541128323978, 0.11849660642142264, 0.006592913984005333, 0.09488466488034514, 0.10841814165919392, 0.1848100917615133, 0.08031813479358244, 0.13242221725713943, 0.006592913984005333, 0.04871541128323978]","([37], [2], [2], [55])"
