tau,prob_actions,results
0.5,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","([0], [5], [1], [1])"
0.5,"[0.05750743423396601, 0.05750743423396601, 0.05750743423396601, 0.05750743423396601, 0.05750743423396601, 0.4249256576603398, 0.05750743423396601, 0.05750743423396601, 0.05750743423396601, 0.05750743423396601, 0.05750743423396601]","([1], [7], [1], [2])"
0.5,"[0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278]","([2], [5], [1], [3])"
0.5,"[0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278]","([3], [7], [1], [4])"
0.5,"[0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.3107503252337775, 0.04205548328138278, 0.04205548328138278, 0.04205548328138278]","([4], [0], [1], [5])"
0.5,"[0.24493701318716152, 0.03314862005481444, 0.03314862005481444, 0.03314862005481444, 0.03314862005481444, 0.24493701318716152, 0.03314862005481444, 0.24493701318716152, 0.03314862005481444, 0.03314862005481444, 0.03314862005481444]","([5], [10], [1], [6])"
0.5,"[0.2021285354566112, 0.027355122596222185, 0.027355122596222185, 0.027355122596222185, 0.027355122596222185, 0.2021285354566112, 0.027355122596222185, 0.2021285354566112, 0.027355122596222185, 0.027355122596222185, 0.2021285354566112]","([6], [7], [2], [8])"
0.5,"[0.16963295262233702, 0.02295732368940688, 0.02295732368940688, 0.02295732368940688, 0.02295732368940688, 0.16963295262233702, 0.02295732368940688, 0.3303998763071408, 0.02295732368940688, 0.02295732368940688, 0.16963295262233702]","([7], [7], [1], [9])"
0.5,"[0.17869689123255755, 0.024183994388460348, 0.024183994388460348, 0.024183994388460348, 0.024183994388460348, 0.17869689123255755, 0.024183994388460348, 0.29462136558310487, 0.024183994388460348, 0.024183994388460348, 0.17869689123255755]","([8], [1], [1], [10])"
0.5,"[0.15478119969125678, 0.15478119969125678, 0.020947357499918946, 0.020947357499918946, 0.020947357499918946, 0.15478119969125678, 0.020947357499918946, 0.2551910562354592, 0.020947357499918946, 0.020947357499918946, 0.15478119969125678]","([9], [10], [1], [11])"
0.5,"[0.15478119969125678, 0.15478119969125678, 0.020947357499918946, 0.020947357499918946, 0.020947357499918946, 0.15478119969125678, 0.020947357499918946, 0.2551910562354592, 0.020947357499918946, 0.020947357499918946, 0.15478119969125678]","([10], [1], [1], [12])"
0.5,"[0.15478119969125678, 0.15478119969125678, 0.020947357499918946, 0.020947357499918946, 0.020947357499918946, 0.15478119969125678, 0.020947357499918946, 0.2551910562354592, 0.020947357499918946, 0.020947357499918946, 0.15478119969125678]","([11], [7], [1], [13])"
0.5,"[0.15863355852100358, 0.15863355852100358, 0.021468717573271793, 0.021468717573271793, 0.021468717573271793, 0.15863355852100358, 0.021468717573271793, 0.2366534604763549, 0.021468717573271793, 0.021468717573271793, 0.15863355852100358]","([12], [5], [1], [14])"
0.5,"[0.15863355852100358, 0.15863355852100358, 0.021468717573271793, 0.021468717573271793, 0.021468717573271793, 0.15863355852100358, 0.021468717573271793, 0.2366534604763549, 0.021468717573271793, 0.021468717573271793, 0.15863355852100358]","([13], [0], [1], [15])"
0.5,"[0.15863355852100358, 0.15863355852100358, 0.021468717573271793, 0.021468717573271793, 0.021468717573271793, 0.15863355852100358, 0.021468717573271793, 0.2366534604763549, 0.021468717573271793, 0.021468717573271793, 0.15863355852100358]","([14], [4], [1], [16])"
0.5,"[0.13949917620456484, 0.13949917620456484, 0.018879160522918922, 0.018879160522918922, 0.13949917620456484, 0.13949917620456484, 0.018879160522918922, 0.2081083163625812, 0.018879160522918922, 0.018879160522918922, 0.13949917620456484]","([15], [7], [1], [17])"
0.5,"[0.1413969398654461, 0.1413969398654461, 0.01913599490548044, 0.01913599490548044, 0.1413969398654461, 0.1413969398654461, 0.01913599490548044, 0.19733532614536725, 0.01913599490548044, 0.01913599490548044, 0.1413969398654461]","([16], [1], [1], [18])"
0.5,"[0.1413969398654461, 0.1413969398654461, 0.01913599490548044, 0.01913599490548044, 0.1413969398654461, 0.1413969398654461, 0.01913599490548044, 0.19733532614536725, 0.01913599490548044, 0.01913599490548044, 0.1413969398654461]","([17], [4], [1], [19])"
0.5,"[0.1413969398654461, 0.1413969398654461, 0.01913599490548044, 0.01913599490548044, 0.1413969398654461, 0.1413969398654461, 0.01913599490548044, 0.19733532614536725, 0.01913599490548044, 0.01913599490548044, 0.1413969398654461]","([18], [7], [1], [20])"
0.5,"[0.14270651381526797, 0.14270651381526797, 0.019313226466898873, 0.019313226466898873, 0.14270651381526797, 0.14270651381526797, 0.019313226466898873, 0.1899012985891658, 0.019313226466898873, 0.019313226466898873, 0.14270651381526797]","([19], [5], [1], [21])"
0.5,"[0.14270651381526797, 0.14270651381526797, 0.019313226466898873, 0.019313226466898873, 0.14270651381526797, 0.14270651381526797, 0.019313226466898873, 0.1899012985891658, 0.019313226466898873, 0.019313226466898873, 0.14270651381526797]","([20], [5], [1], [22])"
0.5,"[0.14270651381526797, 0.14270651381526797, 0.019313226466898873, 0.019313226466898873, 0.14270651381526797, 0.14270651381526797, 0.019313226466898873, 0.1899012985891658, 0.019313226466898873, 0.019313226466898873, 0.14270651381526797]","([21], [5], [2], [24])"
0.5,"[0.13508035386867584, 0.13508035386867584, 0.018281137950519118, 0.018281137950519118, 0.13508035386867584, 0.18851982024414984, 0.018281137950519118, 0.17975307452855124, 0.018281137950519118, 0.018281137950519118, 0.13508035386867584]","([22], [5], [1], [25])"
0.5,"[0.1362750425137765, 0.1362750425137765, 0.018442821476683382, 0.018442821476683382, 0.1362750425137765, 0.18134286128073854, 0.018442821476683382, 0.18134286128073854, 0.018442821476683382, 0.018442821476683382, 0.1362750425137765]","([23], [7], [1], [26])"
0.5,"[0.13714760893318328, 0.13714760893318328, 0.01856091050019655, 0.01856091050019655, 0.13714760893318328, 0.1825039960581261, 0.01856091050019655, 0.1761010157081581, 0.01856091050019655, 0.01856091050019655, 0.13714760893318328]","([24], [0], [1], [27])"
0.5,"[0.13714760893318328, 0.13714760893318328, 0.01856091050019655, 0.01856091050019655, 0.13714760893318328, 0.1825039960581261, 0.01856091050019655, 0.1761010157081581, 0.01856091050019655, 0.01856091050019655, 0.13714760893318328]","([25], [0], [1], [28])"
